"","a","b","c","classificacoes",,
"233",0.452811890008274,0.234826679561241,0.822300108399542,2,53,
"234",0.442497172757739,0.237573256148258,0.604253943430831,2,54,
"235",0.435993738889,0.225011426726094,0.0648647359369198,3,55,
"236",0.896415027398026,0.231160650858715,0.820110298756837,2,56,
"237",0.43661562327071,0,0.301266198796841,1,57,
"238",0.463914409531426,0.233836988634626,0.323741709432598,1,58,
"239",0.466563829932561,0.233224096201938,0.943165309937407,2,59,
"240",0.896415027398024,0.231160650858715,0.820110298756837,2,60,
"241",0.463261133931344,0.233534665378547,0.490606762751929,1,61,
"242",0.893217448868841,0.231543213192372,0.759474438273696,2,62,
"243",0.472232469969744,0.233936585499627,0.726269532782488,2,63,
"244",0.456368541593598,0.235285791170729,0.179233140221818,3,64,
"245",0.436820433676257,0.212037272331807,0.176105440476883,3,65,
"246",0.893217445176774,0.231543213191335,0.759474438270464,2,66,
"247",0.445444646266352,0.237283907314845,0.393583967217886,1,67,
"248",0.999999999999978,0.230030755899205,0,3,68,
"249",0.428556373108304,0.22702814341094,0.607327742992786,2,69,
"250",0.435999258001322,0.152111454868788,0.124675297812515,3,70,
"251",0.999999999999998,0.230030755899205,0,3,71,
"252",1,0.230030755899205,0,3,72,
"253",0.436742704088286,0.202448502121301,0.18665489728925,3,73,
"254",0.435545714924637,0.208341104288771,0.00188976825949466,3,74,
"255",0,0.228516918409454,0.499244436381559,1,75,
"256",0.449934087438415,0.236262665282891,0.347580453565797,1,76,
"257",8.11232953152061e-11,0.228516918409353,0.499244436382019,1,77,
"258",0.479318398740801,0.232830593639048,0.909481797015562,2,78,
"259",0.467582291560787,0.234867384364031,0.231124579024839,1,79,
"260",0.740793414914554,0.233419276900956,0.594059248708664,2,80,
"261",0.740794147216953,0.233419273683458,0.594059229208149,2,81,
"262",0.457991295831336,0.236048427383134,0.227742334512258,1,82,
"263",0.436593804559372,1,0.213007717801832,1,83,
"264",0.436711312887964,0.348027504243789,0.510020367295164,1,84,
"265",0.458599258168922,0.235293551970031,0.203581496681226,1,85,
"266",0.826847508686493,0.232292436439028,0.748888374427484,2,86,
"267",0.464765368656951,0.235184089676253,0.692489841791571,2,87,
"268",0.464617390789881,0.233219975745406,0.616446135697965,2,88,
"269",0.455036918788466,0.234219625280197,0.829398688828832,2,89,
"270",0.826847508686438,0.232292436439028,0.748888374427494,2,90,2010
"271",0.446813824954602,0.226751504657824,0.0216805442605072,3,46,2009
"272",0.452726420168272,0.231684637267025,0.11857993032938,3,47,
"273",0.443242446725394,0.23414347687154,0.359321873326967,1,48,
"274",0.445301626297834,0.230693527277081,0.379677199545324,1,49,
"275",0.445575998261449,0.23088673091762,0.260782479594365,1,50,
"276",0.445249484590437,0.231153631764981,0.305111982558225,1,51,
"277",0.439174901167363,0.231595308986416,0.0099275763774686,3,52,
"278",0.443830079545696,0.230286381649748,0.0352748274380806,3,53,
"279",0.449482225825397,0.234678001379566,0.148332021645741,3,54,
"280",0.450295691767507,0.233085267486362,0.170216818073192,3,55,
"281",0.448394541282215,0.231222163820483,0.16481591736999,3,56,
"282",0.446939419486917,0.23451697998106,0.142833212956955,3,57,
"283",0.44663463441448,0.228531528829453,0.0082632964110574,3,58,
"284",0.442843419432083,0.22858641547191,0.00965589536558464,3,59,
"285",0.453517326940867,0.234994240733261,0.198524074484395,3,60,
"286",0.444964984371583,0.231280902481399,0.104086875879371,3,61,
"287",0.462772259513692,0.235266625767688,0.0637568699527214,3,62,
"288",0.440580477450411,0.236054342328565,0.300546564120023,1,63,
"289",0.450185199260493,0.232521381248089,0.180113006265809,3,64,
"290",0.442868459151162,0.22884951287349,0.00510452787134624,3,65,
